iter	Passed	Remaining
0	14	12032
1	33	13803
2	54	14688
3	91	18679
4	128	20836
5	143	19433
6	163	18960
7	166	16863
8	183	16452
9	192	15545
10	196	14446
11	221	14855
12	239	14815
13	263	15148
14	270	14482
15	284	14236
16	296	13963
17	307	13678
18	326	13741
19	351	14039
20	392	14878
21	414	14982
22	433	14995
23	441	14595
24	454	14423
25	480	14623
26	485	14230
27	526	14861
28	549	14954
29	567	14899
30	581	14765
31	596	14652
32	610	14511
33	618	14259
34	634	14193
35	641	13940
36	658	13901
37	676	13888
38	684	13681
39	696	13552
40	710	13456
41	722	13341
42	732	13206
43	746	13126
44	759	13040
45	769	12916
46	781	12814
47	792	12706
48	806	12663
49	821	12616
50	822	12377
51	837	12333
52	851	12284
53	862	12203
54	873	12118
55	887	12071
56	902	12046
57	916	12012
58	918	11814
59	931	11771
60	945	11727
61	961	11721
62	985	11812
63	1015	11959
64	1016	11778
65	1032	11763
66	1047	11743
67	1059	11682
68	1070	11619
69	1080	11545
70	1094	11516
71	1098	11379
72	1100	11228
73	1112	11183
74	1125	11147
75	1129	11026
76	1143	11000
77	1155	10960
78	1167	10918
79	1177	10863
80	1187	10803
81	1190	10681
82	1199	10623
83	1210	10575
84	1222	10544
85	1234	10506
86	1245	10465
87	1255	10414
88	1268	10393
89	1279	10345
90	1280	10232
91	1282	10119
92	1293	10082
93	1305	10053
94	1314	10006
95	1323	9954
96	1332	9903
97	1342	9861
98	1351	9815
99	1360	9771
100	1370	9727
101	1379	9683
102	1389	9644
103	1400	9614
104	1409	9571
105	1419	9535
106	1429	9495
107	1438	9454
108	1447	9417
109	1457	9378
110	1462	9314
111	1465	9235
112	1467	9153
113	1468	9071
114	1479	9042
115	1489	9012
116	1498	8980
117	1512	8973
118	1514	8895
119	1526	8881
120	1528	8803
121	1534	8756
122	1546	8737
123	1557	8719
124	1570	8704
125	1581	8684
126	1591	8657
127	1601	8632
128	1605	8573
129	1628	8619
130	1642	8616
